"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Hybridization Assay Name"	"Array Design REF"	"Protocol REF"	"Scan Name"	"Image File"	"Array Data File"	"Array Data Matrix File"	"Protocol REF"	"Normalization Name"	"Derived Array Data File"	"Protocol REF"	"Data Transformation Name"	"Derived Array Data Matrix File"	"Comment[Data Repository]"	"Comment[Data Record Accession]"
"3"	"RNA extraction"	"A704-03"	"labeling"	"A704-03"	"biotin"	"CHEBI"	"CHEBI:15956"	"nucleic acid hybridization"	"A704-03"	"ATH1"	"data collection"	""	""	"A704-03.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"27"	"RNA extraction"	"A704-27_2"	"labeling"	"A704-27_2"	"biotin"	"CHEBI"	"CHEBI:15956"	"nucleic acid hybridization"	"A704-27_2"	"ATH1"	"data collection"	""	""	"A704-27_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"51"	"RNA extraction"	"A704-51_2"	"labeling"	"A704-51_2"	"biotin"	"CHEBI"	"CHEBI:15956"	"nucleic acid hybridization"	"A704-51_2"	"ATH1"	"data collection"	""	""	"A704-51_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"15"	"RNA extraction"	"A704-15"	"labeling"	"A704-15"	"biotin"	"CHEBI"	"CHEBI:15956"	"nucleic acid hybridization"	"A704-15"	"ATH1"	"data collection"	""	""	"A704-15.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"39"	"RNA extraction"	"A704-39"	"labeling"	"A704-39"	"biotin"	"CHEBI"	"CHEBI:15956"	"nucleic acid hybridization"	"A704-39"	"ATH1"	"data collection"	""	""	"A704-39.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"63"	"RNA extraction"	"A704-63"	"labeling"	"A704-63"	"biotin"	"CHEBI"	"CHEBI:15956"	"nucleic acid hybridization"	"A704-63"	"ATH1"	"data collection"	""	""	"A704-63.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"4"	"RNA extraction"	"A704-04"	"labeling"	"A704-04"	"biotin"	"CHEBI"	"CHEBI:15956"	"nucleic acid hybridization"	"A704-04"	"ATH1"	"data collection"	""	""	"A704-04.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"28"	"RNA extraction"	"A704-28"	"labeling"	"A704-28"	"biotin"	"CHEBI"	"CHEBI:15956"	"nucleic acid hybridization"	"A704-28"	"ATH1"	"data collection"	""	""	"A704-28.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"52"	"RNA extraction"	"A704-52_2"	"labeling"	"A704-52_2"	"biotin"	"CHEBI"	"CHEBI:15956"	"nucleic acid hybridization"	"A704-52_2"	"ATH1"	"data collection"	""	""	"A704-52_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"16"	"RNA extraction"	"A704-16_2"	"labeling"	"A704-16_2"	"biotin"	"CHEBI"	"CHEBI:15956"	"nucleic acid hybridization"	"A704-16_2"	"ATH1"	"data collection"	""	""	"A704-16_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"40"	"RNA extraction"	"A704-40"	"labeling"	"A704-40"	"biotin"	"CHEBI"	"CHEBI:15956"	"nucleic acid hybridization"	"A704-40"	"ATH1"	"data collection"	""	""	"A704-40.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"64"	"RNA extraction"	"A704-64"	"labeling"	"A704-64"	"biotin"	"CHEBI"	"CHEBI:15956"	"nucleic acid hybridization"	"A704-64"	"ATH1"	"data collection"	""	""	"A704-64.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"5"	"RNA extraction"	"A704-05"	"labeling"	"A704-05"	"biotin"	"CHEBI"	"CHEBI:15956"	"nucleic acid hybridization"	"A704-05"	"ATH1"	"data collection"	""	""	"A704-05.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"29"	"RNA extraction"	"A704-29"	"labeling"	"A704-29"	"biotin"	"CHEBI"	"CHEBI:15956"	"nucleic acid hybridization"	"A704-29"	"ATH1"	"data collection"	""	""	"A704-29.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"53"	"RNA extraction"	"A704-53_2"	"labeling"	"A704-53_2"	"biotin"	"CHEBI"	"CHEBI:15956"	"nucleic acid hybridization"	"A704-53_2"	"ATH1"	"data collection"	""	""	"A704-53_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"17"	"RNA extraction"	"A704-17"	"labeling"	"A704-17"	"biotin"	"CHEBI"	"CHEBI:15956"	"nucleic acid hybridization"	"A704-17"	"ATH1"	"data collection"	""	""	"A704-17.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
