"Sample Name"	"Protocol REF"	"Assay Name"	"Raw Data File"	"Protocol REF"	"Normalization Name"	"Data Transformation Name"	"Derived Data File"	"Comment[Data Repository]"	"Comment[Data Record Accession]"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sampling time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"3"	"data collection"	"A704-03"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-03.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"40"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"27"	"data collection"	"A704-27_2"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-27_2.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"40"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"51"	"data collection"	"A704-51_2"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-51_2.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"40"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"15"	"data collection"	"A704-15"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-15.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"40"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"39"	"data collection"	"A704-39"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-39.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"40"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"63"	"data collection"	"A704-63"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-63.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"40"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"4"	"data collection"	"A704-04"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-04.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"D"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"28"	"data collection"	"A704-28"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-28.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"D"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"52"	"data collection"	"A704-52_2"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-52_2.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"D"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"16"	"data collection"	"A704-16_2"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-16_2.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"D"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"40"	"data collection"	"A704-40"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-40.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"D"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"64"	"data collection"	"A704-64"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-64.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"D"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"5"	"data collection"	"A704-05"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-05.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"erp1"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"29"	"data collection"	"A704-29"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-29.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"erp1"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"53"	"data collection"	"A704-53_2"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-53_2.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"erp1"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"17"	"data collection"	"A704-17"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-17.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"erp1"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"41"	"data collection"	"A704-41"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-41.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"erp1"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"65"	"data collection"	"A704-65"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-65.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"erp1"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"6"	"data collection"	"A704-06"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-06.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"erp2"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"30"	"data collection"	"A704-30"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-30.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"erp2"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"54"	"data collection"	"A704-54"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-54.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"erp2"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"18"	"data collection"	"A704-18"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-18.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"erp2"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"42"	"data collection"	"A704-42"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-42.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"erp2"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"66"	"data collection"	"A704-66"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-66.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"erp2"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"1"	"data collection"	"A704-01"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-01.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"gl1"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"25"	"data collection"	"A704-25"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-25.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"gl1"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"49"	"data collection"	"A704-49"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-49.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"gl1"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"13"	"data collection"	"A704-13"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-13.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"gl1"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"37"	"data collection"	"A704-37"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-37.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"gl1"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"61"	"data collection"	"A704-61"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-61.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"gl1"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"2"	"data collection"	"A704-02"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-02.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"pen2"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"26"	"data collection"	"A704-26"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-26.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"pen2"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"50"	"data collection"	"A704-50_2"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-50_2.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"pen2"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"6"	"hour"	"UO"	"0000032"	""	""	""
"14"	"data collection"	"A704-14"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-14.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"pen2"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"38"	"data collection"	"A704-38_2"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-38_2.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"pen2"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"62"	"data collection"	"A704-62"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-62.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"pen2"	""	""	"water"	"EFO"	"obo:CHEBI_15377"	"12"	"hour"	"UO"	"0000032"	""	""	""
"9"	"data collection"	"A704-09"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-09.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"40"	""	""	"Phytophthora infestans 90128"	"NCBITaxon"	"obo:NCBITaxon_887080"	"6"	"hour"	"UO"	"0000032"	""	""	""
"33"	"data collection"	"A704-33_2"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-33_2.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"40"	""	""	"Phytophthora infestans 90129"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"57"	"data collection"	"A704-57_2"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-57_2.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"40"	""	""	"Phytophthora infestans 90130"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
"21"	"data collection"	"A704-21"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-21.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"40"	""	""	"Phytophthora infestans 90131"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"45"	"data collection"	"A704-45"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-45.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"40"	""	""	"Phytophthora infestans 90132"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"69"	"data collection"	"A704-69"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-69.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"40"	""	""	"Phytophthora infestans 90133"	"NCBITaxon"	""	"12"	"hour"	"UO"	"0000032"	""	""	""
"10"	"data collection"	"A704-10"	"/home/sneumann/tex/papers/2014datascience/IPB-2014-01/celdata/A704-10.CEL"	"data transformation"	""	""	""	"ArrayExpress"	"AEX"	"D"	""	""	"Phytophthora infestans 90134"	"NCBITaxon"	""	"6"	"hour"	"UO"	"0000032"	""	""	""
